German,English
noten ,grades
ellie ,Ellie
irgendwohin ,somewhere
nora ,Nora
brunnen ,Fountain
toby ,Toby
sandy ,sandy
lampe ,lamp
craig ,craig
jagt ,hunted
eigentum ,property
diebstahl ,theft
spenden ,donate
betrieb ,operation
gemeinsame ,common
absurd ,absurd
gegensatz ,contrast
frühling ,spring
dünn ,slim
ausland ,foreign countries
schultern ,Shoulders
entwicklung ,development
vergehen ,pass
ahnen ,suspect
verbessern ,to enhance
herzog ,duke
diskussion ,discussion
gehalt ,salary
lemon ,lemon
freak ,freak
glocke ,Bell jar
forschung ,research
geradeaus ,straight
fette ,fat
iris ,iris
rechnungen ,bills
kasse ,cash
tödlich ,deadly
tieren ,animals
ian ,Ian
oberfläche ,surface
gitarre ,guitar
bedienen ,serve
Jan ,Jan
zwang ,force
marsh ,marsh
politiker ,Politician
bären ,bear
vereint ,united
irgendeiner ,any
ward ,ward
besuche ,visits
schreckliches ,terrible
schoss ,lap
collins ,Collins
werkzeug ,tool
kranken ,suffer
neffe ,nephew
sue ,Sue
dauerte ,took
brooklyn ,Brooklyn
lebenden ,living
bevölkerung ,population
hergebracht ,brought
just ,just
durchziehen ,pull through
gepackt ,packed
service ,service
furchtbare ,terrible
liebster ,dearest
flieger ,flyer
vorschriften ,regulations
beherrschen ,dominate
guy ,guy
detail ,detail
ausgewählt ,selected
herunter ,down
schriftsteller ,writer
wärt ,be
kümmer ,carer
andererseits ,on the other hand
bay ,bay
gene ,genee
shuttle ,shuttle
üblich ,common
entführen ,kidnap
ike ,Ike
jury ,jury
box ,box
ausgedacht ,thoughtful
freddy ,freddy
partys ,parties
rausgefunden ,founded
plant ,plans
feige ,cowardly
gesungen ,sung
möbel ,furniture
bewährung ,probation
schieße ,shoe
umgeben ,surround
berater ,advisor
e-mail ,e-mail
bailey ,bailey
zoo ,zoo
gedicht ,poem
lorelai ,Lorelai
bellt ,barking
vorschlagen ,suggest
genießt ,enjoy
baseball ,baseball
locken ,Curls
ooh ,Oh
trennung ,separation
lautsprecher ,speaker
ticket ,ticket
umwerfend ,stunning
kanzlei ,chancellery
wahres ,true
zufolge ,according to
come ,come
hebt ,lift
anschlag ,attack
timing ,timing
kid ,kid
tucker ,tucker
befehlen ,command
etage ,floor
dazwischen ,between
jules ,jules
heisst ,called
objekt ,object
bedaure ,caution
wobei ,whereby
kokain ,cocaine
strategie ,strategy
freundes ,friend
wolken ,clouds
gräfin ,countess
bruno ,Bruno
getreten ,stepped
cal ,CAL
pardon ,pardon
genosse ,comrade
ungut ,uncouth
verteilen ,to distribute
fuchs ,Fox
day ,day
organisiert ,organized
bla ,blad
up ,up
world ,World
east ,East
löcher ,holes
aktiv ,active
hunter ,hunter
werfe ,throw
beantwortet ,answered
meist ,most of time
reis ,rice
hierhin ,here
scotch ,Scotch
überfahren ,run over
logisch ,logical
heather ,heather
französische ,French
bekannte ,acquaintance
episode ,episode
engagiert ,involved
manipuliert ,manipulated
zellen ,cells
are ,bee
blake ,blake
dienste ,services
sodass ,so that
volkes ,volks
golf ,golf
janet ,Janet
schmeißen ,throw
grand ,grand
zurückgekehrt ,returned
eröffnet ,open
summt ,humming
unterrichten ,teach
verschaffen ,procure
verlobte ,fiancee
erfahrungen ,experience
shit ,shit
persönlichkeit ,personality
gina ,Gina
streichen ,to brush
offenen ,open
weisheit ,wisdom
vergeht ,passing
beruhig ,calm down
zielen ,aim
fans ,fans
wüsstest ,knack
ashley ,Ashley
schuldet ,owe
erhöhen ,raise
schönsten ,most beautiful
momente ,moments
adrian ,Adrian
kameraden ,comrades
eingebrochen ,broken into
amüsiert ,amused
erwähnte ,mention
mitch ,mitch
premierminister ,prime minister
geringste ,least
übernachten ,stay
infiziert ,infected
goa ,Goa
dinner ,dinner
rieche ,smell
kredit ,credit
allison ,allison
lake ,lake
legal ,legal
merke ,Note
jubel ,jubilation
klänge ,sound
größeren ,larger
bewacht ,guarded
vietnam ,Vietnam
lehren ,to teach
chandler ,chandler
präsentieren ,present
nacken ,neck
auflegen ,hang up
vergangen ,past
fangt ,catches
hühner ,Chicken
hector ,hector
teal ,teal
sprengen ,bust
einsperren ,lock up
turner ,gymnast
zusammenhang ,connection
wahrer ,true
joan ,Joan
marco ,Marco
breit ,wide
pfeife ,pipe
treibst ,drift
rannte ,ran
beschuldigt ,accused
set ,set
verlegt ,laid
überraschungen ,surprises
orleans ,Orleans
douglas ,douglas
tauchen ,dive
verdanken ,owe
nadel ,needle
psst ,psst
gelacht ,laughed
apfel ,Apple
behilflich ,assistant
dreckskerl ,guy
mitgefühl ,compassion
wichtigsten ,most important
krieges ,war
wehe ,woe
hope ,hop
heirat ,marriage
exakt ,exactly
widerstehen ,resist
höchst ,maximum
zurückgelassen ,reigned
gespürt ,false
methoden ,methods
interessantes ,interesting
sau ,sow
notaufnahme ,emergency department
verwandten ,relatives
jeffrey ,Jeffrey
trinkgeld ,tip
ermitteln ,determine
riechst ,smell
beach ,beach
sorte ,variety
kartoffeln ,potatoes
bo ,Bo
elefanten ,elephant
sichere ,secure
sämtliche ,all
gekündigt ,quit
vereinbarung ,agreement
harmlos ,harmless
weiber ,wives
this ,This
dicken ,thickness
rauskommt ,get out
old ,old
angestellten ,employee
datum ,date
bezug ,relation
kerzen ,candles
lawrence ,Lawrence
marsch ,march
benötigt ,needed
ermittlung ,detection
lagen ,lay
unbekannt ,unknown
gefressen ,eat
brett ,board
manieren ,manners
han ,Han
enthält ,contains
anfing ,start
kümmerst ,caring
berühmte ,famous
schwieriger ,more difficult
piloten ,pilot
scherze ,joke
anfängt ,begins
läufst ,run
bekannten ,acquaintance
rasen ,race
empfehlen ,recommend
härter ,harder
geweckt ,awakened
befördert ,conveyed
reiter ,equestrian
empfinden ,feel
j ,j
bereite ,prepare
täte ,dock
benutzte ,used
halloween ,Halloween
abgesagt ,canceled
down ,down
quasi ,so to say
kocht ,cooks
reingekommen ,came in
hupen ,hook
hinunter ,down
vorüber ,over
ausdrücken ,to express
reese ,reese
elliot ,Elliot
perfekten ,perfect
folgte ,followed
rebellen ,rebel
di ,di
hauptsächlich ,mainly
schuppen ,shed
braver ,brave
neill ,Neill
zwanzig ,twenty
berichtet ,reported
einrichtung ,Facility
November ,November
sensoren ,sensors
korrigiert ,corrected
houston ,Houston
richie ,richie
verdächtig ,suspicious
legst ,put
aufgebracht ,applied
alternative ,alternative
experte ,expert
ferne ,distance
prinzip ,principle
holte ,fetched
richte ,tale
donald ,Donald
weisen ,point
ozean ,ocean
gelungen ,succeded
natalie ,Natalie
esther ,esther
abschaum ,scum
stevie ,Stevie
überwacht ,supervised
schwierige ,troubled
ausgedrückt ,expressed
hastings ,hasting
notruf ,emergency call
riss ,crack
bremsen ,brake
häufig ,frequently
aktivieren ,activate
lloyd ,Lloyd
anstrengend ,stressful
antwortet ,respondent
ais ,ais
verschwörung ,conspiracy
kellner ,waiter
startet ,start
franklin ,Franklin
andermal ,elongation
humphrey ,humphrey
evan ,Evan
lkw ,truck
erhält ,getting
schmeißt ,throw
fürst ,Prince
carson ,Carson
perry ,pious
küsse ,kisses
gebet ,prayer
miranda ,Miranda
melancholische ,melancholy
räume ,spaces
riskiert ,risky
verhindert ,prevent
ausrede ,excuse
darling ,Darling
tüte ,bag
manhattan ,Manhattan
operiert ,operated
unfassbar ,incomprehensible
herrin ,mistress
hergestellt ,manufactured
lila ,purple
gerichtet ,directed
fordern ,demand
fischen ,fishing
kriminelle ,criminal
jenem ,that
verschafft ,gave up
dezember ,December
anspruch ,claim
räuspert ,clear
sid ,sid
unsichtbar ,invisible
keith ,keith
seth ,seth
ersetzt ,replaced
ruby ,Ruby
handtuch ,hand towel
yang ,yang
dale ,dale
blödes ,stupid
doof ,stupid
wertvoll ,valuable
kardinal ,cardinal
jefferson ,Jefferson
kommunikation ,communication
operieren ,operate
problemen ,problems
aliens ,aliens
cameron ,Cameron
erik ,Erik
erkannte ,recognized
river ,river
loszuwerden ,get rid of
unnötig ,unnecessary
begleite ,accompany
analyse ,analysis
hochzeitstag ,wedding day
melodie ,melody
wehren ,fight
pablo ,pablo
romantische ,romantic
zurückrufen ,call back
rente ,pension
zeremonie ,ceremony
platte ,plate
now ,now
ersatz ,substitute
mütze ,Cap
veränderungen ,change
zeugin ,witness
rührt ,stirring
versichert ,insured
teilt ,Splits
russisch ,Russian
wundervolle ,wonderful
willy ,Willy
wiederhören ,reflect
passagiere ,passengers
diebe ,thieves
guckst ,look
fließt ,flowing
elend ,misery
andauernd ,constantly
nicky ,nicky
ungeheuer ,enormous
fit ,fit
zeitverschwendung ,waste of time
ansicht ,opinion
gefährliche ,dangerous
bell ,Bell
vierte ,fourth
verbrachte ,spent
zentimeter ,centimeter
trete ,go
politische ,political
interessen ,Interests
anlage ,system
anderson ,Anderson
autounfall ,car accident
gefangener ,Prisoner
aufstand ,revolt
schafe ,sheep
absolute ,absolute
kontakte ,contacts
trip ,trip
notizen ,notes
ausgegeben ,spent
versorgt ,provided
gnaden ,grace
piraten ,pirate
eli ,Eli
stuart ,stuart
sowohl ,as well as
muskeln ,muscles
unwahrscheinlich ,unlikely
steak ,steak
japaner ,Japanese
spritze ,syringe
there ,there
fesseln ,bind
umarmen ,embrace
loser ,loose
begleitet ,accompanied
früheren ,former
ally ,ally
wacht ,wake up
morden ,murder
eingefallen ,invaded
fox ,fox
schneide ,cutting edge
weiten ,widen
times ,times
musiker ,Musician
reichweite ,Range
hood ,hood
maya ,Maya
handys ,phones
öffentlichen ,public
beleidigen ,insult
russischen ,Russian
gabriel ,Gabriel
glenn ,glen
erschien ,Made
romeo ,Romeo
wünsch ,wish
schach ,chess
explodieren ,explode
kater ,Male cat
wundern ,wonder
französischen ,French
thompson ,Thompson
habs ,habs
beeinflussen ,influence
heult ,howl
hinfahren ,drive to
bedingung ,condition
empfinde ,sentiment
top ,Top
gemocht ,groomed
heran ,approaching
stella ,stella
ärgern ,to annoy
klingst ,sound
konkurrenz ,competitor
erfordert ,requires
mädchens ,girl
unsicher ,unsure
festung ,fortress
runden ,round
detektiv ,detective
pastor ,pastor
kratzer ,scratch
junges ,young
melissa ,melissa
gruselig ,gruesome
flugzeuge ,aircraft
durchgeführt ,carried out
intelligenz ,intelligence
stieg ,rose
zugestimmt ,agreed
mutti ,mutti
genieße ,enjoy
schützt ,protect
rückzug ,retreat
konzentriert ,concentrated
schäme ,ashamed
reserviert ,reserved
goldenen ,golden
bude ,booth
metall ,metal
kane ,kane
jacques ,jacques
nüchtern ,sober
absichten ,intention
south ,South
handschuhe ,gloves
erschießt ,shot
arrangiert ,arranged
verwundet ,wounded
debbie ,debbbie
bates ,bates
anfühlt ,feels
drückt ,push
absagen ,cancel
behalt ,retain
einiger ,some
russische ,Russian
beeindrucken ,impress
düstere ,gloomy
geschäftlich ,business
egoistisch ,egotistical
mario ,Mario
rocky ,rocky
ranch ,ranch
pat ,pat
gerücht ,rumor
jen ,joy
temperatur ,temperature
weggenommen ,taken away
tickets ,tickets
li ,Li
ablenken ,turn
verletzung ,injury
anwesend ,present
umlegen ,put down
einfachen ,simple
gehorchen ,to obey
gemalt ,painted
duncan ,duncan
räuber ,robber
adler ,Eagle
süßigkeiten ,Sweets
lunge ,lung
zurückziehen ,pull back
wyatt ,Wyatt
sonnenuntergang ,sunset
oper ,Opera
agentur ,Agency
kühe ,cows
aufräumen ,clean up
krach ,crash
sharon ,Sharon
ablehnen ,decline
graham ,graham
pfeil ,arrow
unbekannte ,unknown
aussprechen ,Express
route ,route
emotional ,emotionally
belästigen ,harass
kälte ,cold
sektor ,sector
blockiert ,blocked
öffentliche ,public
schweden ,Sweden
gates ,gate
häuptling ,chief
märz ,March
nummern ,numbers
dar ,dar
irrst ,rampart
leite ,lead
frosch ,frog
vorübergehend ,in the interim
büchern ,book
mick ,mick
miese ,miesel
anfangs ,at first
verwandt ,related
gefährdet ,endangered
cola ,cola
falscher ,counterfeiter
kara ,kara
verängstigt ,frightened
quellen ,sources
republik ,republic
f ,f
us ,US
silber ,silver
aß ,ate
umschlag ,envelope
freust ,frustration
hinsicht ,respects
ereignis ,occurrence
beschissene ,shitty
vergraben ,bury
gebunden ,bound
marion ,marion
ente ,duck
gläser ,glasses
kommentar ,comment
doppelte ,double
boris ,boris
sanfte ,litter
gibbs ,Gibbs
lola ,lola
buck ,buck
zivilisation ,civilization
tiefen ,depths
reicher ,richer
verhaftung ,arrest
meldung ,report
bohnen ,bean
pfeifen ,Pipes
hall ,hall
leon ,Leon
raketen ,rocket
gutem ,good
versetzen ,offset
ziege ,goat
löwe ,Lion
cat ,Cat
central ,Central
tötest ,kill
pierce ,pierce
privatsphäre ,privacy
j. ,J.
büßen ,be
kalten ,cold
eid ,oath
burschen ,lady
zweit ,second
unterscheiden ,differentiate
gerechnet ,expected
telegramm ,telegram
sprecht ,speech
babysitter ,baby-sitter
pfad ,path
getanzt ,danced
mafia ,mafia
verteidigt ,defended
abschalten ,switch off
wellen ,waves
besoffen ,drunk
diensten ,services
abschließen ,to lock
angehalten ,hedged
doyle ,doyle
assistent ,assistant
ketten ,chains
reist ,travels
merkst ,feast
bot ,bot
gwen ,Gwen
inwiefern ,in what way
pille ,pill
bock ,desire
korb ,basket
herrschaften ,rule
en ,de
bedauern ,regret
angefasst ,touched
heißer ,hot
aufrichtig ,sincerely
conrad ,conrad
versorgen ,supply
sperren ,lock
naiv ,naive
mauern ,wall
hugo ,Hugo
erweisen ,prove
zurücklassen ,leave behind
samurai ,samurai
hoffnungen ,hopes
feststellen ,determine
finch ,finch
mandanten ,client
quartier ,quarters
philippe ,Philippe
neidisch ,envious
alicia ,Alicia
chips ,crisps
zugelassen ,authorized
weibliche ,female
schlauer ,smarter
vorwürfe ,accusations
aushalten ,endure
einschlafen ,fall asleep
transport ,transport
laptop ,Laptop
arrangieren ,arrange
städte ,cities
vorzustellen ,imagine
unterm ,under
flash ,Flash
u-bahn ,Subway
status ,status
bond ,bond
stephanie ,Stephanie
zweifellos ,undoubtedly
rückwärts ,backward
chffff ,Chffff
skandal ,scandal
angebracht ,appropriate
pressen ,press
tschuldigung ,Sorry
papierkram ,paperwork
trat ,trate
gemeinschaft ,community
instinkt ,instinct
flitterwochen ,honeymoon
narbe ,scar
kombination ,combination
vorgesetzten ,superior
ausprobieren ,try out
solcher ,such
sexuelle ,sexual
geliebter ,lover
julien ,Julien
lauren ,lauren
ignoriert ,ignored
leslie ,leslie
zogen ,pulled
zahnarzt ,dentist
gelitten ,suffer
zutritt ,access
vergewaltigung ,rape
drehe ,turn
ertrage ,entrepreneur
andern ,change
streich ,Prank
kichert ,cichter
sternenflotte ,starfile
kreaturen ,creatures
reif ,ripe
übermorgen ,the day after tomorrow
dicker ,thicker
got ,god
nest ,nest
but ,butt
angerichtet ,prepared
verklagen ,Sue
helm ,helmet
bingo ,bingo
vergleichen ,to compare
schweiz ,Switzerland
bemerken ,to notice
herbst ,autumn
meredith ,Meredith
zurückholen ,get back
nazis ,Nazis
stamm ,tribe
auswahl ,selection
braves ,braves
sichergehen ,play it safe
antreten ,compete
lester ,lester
vorstand ,board of directors
sdi ,SDI
robbie ,Robbie
organisieren ,to organize
tank ,tank
let ,let
besprechung ,meeting
studium ,studies
gossip ,gossip
kreditkarte ,Credit card
schwuchtel ,hoist
profil ,profile
donner ,thunder
drake ,drake
schrecken ,scare
stall ,barn
saßen ,sat
quitt ,quit
hotels ,Hotels
respektiere ,respect
kandidaten ,candidate
schulen ,schools
crane ,crane
geschäftsmann ,businessman
arnold ,Arnold
läutet ,ringing
lachst ,laugh
champion ,champion
unverständlich ,incomprehensible
ermorden ,to murder
betracht ,consideration
schadet ,shaded
fester ,fertilizer
aah ,aah
rühren ,stir
geregelt ,regulated
unterbrochen ,interrupted
angesicht ,face
kriminellen ,criminal
when ,how to
helena ,Helena
einzelheiten ,details
anlügen ,lie
beschütze ,protectors
stattfinden ,occur
dads ,dad
fortschritt ,progress
gelingt ,succeed
feierabend ,quitting time
feste ,feast
burger ,citizens
spannend ,exciting
deputy ,deputy
einnehmen ,take in
schalte ,turn
passwort ,password
würstchen ,hot dog
mittlerweile ,in the meantime
aufzugeben ,give up
führst ,lead
harper ,Harper
zivilisten ,civilian
ewige ,eternal
emotionen ,emotions
beurteilen ,judge
käufer ,buyer
stars ,star
erwachsenen ,adult
division ,division
aufzunehmen ,take up
booth ,booth
werft ,shipyard
ältere ,older
banken ,bank
kätzchen ,kitten
option ,option
heiratest ,wedding
rettete ,rescued
aufstellen ,put up
husten ,cough
schublade ,drawer
gestürzt ,crash
seattle ,Seattle
ankommt ,arriving
befragt ,interviewed
buchstaben ,letters
spielten ,play
gestiegen ,gone up
abgefahren ,worn
gewaschen ,washed
anzunehmen ,accept
rob ,robe
anzahl ,number
zombies ,zombies
have ,haven
anhänger ,pendant
gewisser ,certain
vorkommen ,occurrence
festnehmen ,arrest
willow ,Willow
medizinischen ,medical
kern ,core
offene ,open
gefeiert ,celebrated
anschließen ,connect
rico ,rico
clarke ,clarke
erfindung ,invention
besserer ,better
autopsie ,autopsy
rucksack ,backpack
zwingt ,forcing
gnädige ,gracious
einsamkeit ,lonliness
gesprungen ,jumped
t-shirt ,t-shirt
geopfert ,sacrificed
lena ,lena
beiseite ,aside
umgekehrt ,vice versa
geschworenen ,jury
draussen ,outdoors
ausgesprochen ,pronounced
beseitigen ,remove
burg ,Castle
ausführen ,carry out
gesperrt ,locked
carla ,Carla
irrer ,madman
drehte ,turned
ersparen ,spare
force ,force
frech ,cheeky
einziehen ,collect
kira ,Kira
hot ,hot
genehmigung ,permit
tankstelle ,Gas station
versteckte ,hidden
interessanter ,more interesting
schneider ,cutter
gelb ,yellow
et ,Et
gefährden ,endanger
handtasche ,purse
urteilen ,to judge
erhöht ,elevated
preise ,Prices
bumm ,buzz
unbekannten ,unknown
gelten ,are valid
life ,life
butler ,butler
möglichst ,as far as possible
münze ,coin
singe ,sing
saison ,season
andrea ,Andrea
partnerin ,partner
haltung ,attitude
vollidiot ,dumbass
fasst ,fitting
winston ,Winston
minus ,minus
pflichten ,oblige
spar ,saving
demselben ,the same
ruhestand ,retirement
versteckst ,hide
kai ,quay
bewachen ,guard
oz ,oz
vera ,vera
anhörung ,hearing
lieder ,Songs
miguel ,miguel
dreckig ,dirty
verbreiten ,spread
wei ,white
sch ,NS
carmen ,Carmen
first ,first
schenke ,Donate
wölfe ,wolves
erholen ,recover
bedenkt ,consider
blutet ,bleed
freddie ,Freddie
beschweren ,complain
schmeiß ,shoe
gauner ,rogue
verursachen ,cause
elvis ,Elvis
produkt ,product
cathy ,Cathy
tafel ,blackboard
kacke ,shit
versammelt ,gathered
sandra ,Sandra
regelmäßig ,regularly
geschrei ,shouting
ruder ,rudder
allah ,Allah
vollen ,full
aktivitäten ,activities
wohnte ,lived
kaninchen ,Rabbits
systeme ,systems
orange ,orange
platten ,plates
rex ,Rex
y ,y
geliehen ,borrow
befolgen ,follow
belästigt ,harassed
hongkong ,Hong Kong
zombie ,zombie
vorgeht ,impart
heißes ,hot
überprüfe ,check
veröffentlicht ,released
erschieß ,shock
mahlzeit ,enjoy the meal
offizielle ,official
yorker ,yorker
angie ,Angie
aufbrechen ,break open
überlasse ,leaving
get ,get
kenntnis ,knowledge
beschissenen ,shitty
trevor ,Trevor
verbindet ,connect
sanitäter ,paramedic
überraschend ,surprised
geantwortet ,responded
droht ,threatens
italienisch ,Italian
verhör ,interrogation
größeres ,larger
klagen ,complain
dichter ,poet
großartiger ,grand
gratis ,free
fürchtet ,fear
abzuholen ,pick up
gefühlen ,emotions
beschäftigen ,employ
unglaubliche ,incredible
selbe ,same
barnes ,barnes
spürt ,feel
funkgerät ,radio
abgegeben ,delivered
laurel ,laurel
angemessen ,appropriate
ohnehin ,anyway
chinesisch ,Chinese
orden ,medal
angeheuert ,fueled
wählt ,chooses
lustige ,funny
abhängen ,depend
vierten ,fourth
tanner ,tanner
schläge ,punch
zögern ,hesitate
bezeichnen ,describe
seltsames ,strange
beruflich ,professional
un ,U.N
bedeckt ,covered
anzufangen ,start
geraucht ,smoked
töteten ,kill
begeben ,go
verständlich ,understandable
pop ,pop
merkte ,noticed
infektion ,infection
kitty ,kitty
entspricht ,is equivalent to
winkel ,angle
experten ,Experts
betten ,beds
boxen ,box
torte ,cake
austausch ,exchange
aufregen ,excite
vermuten ,suspect
geheimdienst ,intelligence
schlangen ,snakes
erholt ,recovered
zach ,zach
überzeugend ,convincing
prue ,prue
genick ,neck
wuchs ,growth
autorität ,authority
schinken ,Ham
wien ,Vienna
langes ,long
sookie ,sookie
zoey ,zoey
fetten ,grease
hai ,hai
binden ,tie
erpressung ,blackmail
derzeit ,currently
getäuscht ,deceived
buddy ,buddy
keines ,none
sammlung ,collection
anruft ,call
tauchte ,dive
weist ,point
ergreifen ,take
frohes ,glad
hänge ,slope
bewohner ,resident
entschied ,decided
supermarkt ,Supermarket
offiziere ,officers
verwandte ,relative
schwachkopf ,Moron
antoine ,Antoine
irak ,Iraq
rangehen ,run
naomi ,Naomi
kündigen ,quit
geldes ,money
dealer ,dealer
könige ,kings
army ,army
januar ,January
agnes ,Agnes
priorität ,priority
beförderung ,promotion
kranke ,sick
eifersucht ,jealousy
way ,way
heutige ,today's
sprang ,jump
kürze ,brevity
polen ,Poland
erbärmlich ,miserable
erfasst ,recorded
besonderer ,special
good ,good
geräte ,devices
tanze ,dance
königliche ,Royal
durchmachen ,go through
dallas ,Dallas
verschwendet ,wasted
kennedy ,kennedy
uld ,Uld
alec ,Alec
akzeptiere ,accept
ausgeschaltet ,switched off
ufer ,riverbank
risiken ,risks
schrie ,shouting
beeinflusst ,influenced
hal ,hal
aussiehst ,looks
ausgebildet ,educated
bezirk ,district
herrje ,Herrje
beauftragt ,instructed
geschützt ,protected
abgeschnitten ,cut off
qualität ,quality
henker ,hangman
ausgezogen ,moved out
versichern ,assure
gewinnst ,winning
navy ,navy
schmidt ,schmidt
beschloss ,decided
batman ,batman
sun ,Sun
kapierst ,goat
scheibe ,disc
veronica ,Veronica
rosie ,rosie
pedro ,pedro
konferenz ,conference
länder ,countries
flecken ,stains
fur ,for
neal ,neal
sonnenaufgang ,sunrise
reed ,reed
braun ,Brown
diagnose ,diagnosis
paranoid ,paranoid
weltraum ,space
adams ,Adam
vorbild ,Idol
halle ,Hall
wandern ,hike
fisher ,fisher
frost ,frost
gehandelt ,traded
hawaii ,Hawaii
kabine ,cabin
chefin ,boss
porter ,porter
römer ,Roman
weinst ,grain
bäumen ,trees
simpson ,Simpson
datenbank ,Database
suchten ,sought
gesegnet ,blessed
teilnehmen ,take part
umbringt ,kill
claude ,claude
blonde ,blonde
bunker ,bunker
mieser ,lousy
löffel ,spoon
geteilt ,divided
klaren ,clear up
bree ,bree
abhängig ,addicted
überlebenden ,survivor
worf ,worship
geeignet ,suitable
hindern ,prevent
fahrstuhl ,elevator
ausgeht ,go out
mylady ,Mylady
flagge ,flag
komplette ,complete
hing ,hung
italiener ,Italian
disziplin ,discipline
erzogen ,behaved
harvard ,Harvard
kongress ,congress
eingezogen ,moved in
kurzer ,short
schirm ,umbrella
merlin ,Merlin
charme ,charm
vorlesen ,read out
gefährlicher ,dangerous
mitfahren ,ride
maurice ,Maurice
anzeigen ,Show
d. ,d.
schieb ,slide
empfindlich ,sensitive
parken ,park
koche ,cooking
gestrichen ,painted
berühmten ,famous
manchen ,some
klopf ,knock
zorro ,Zorro
reichlich ,abundant
lügnerin ,liar
mode ,Fashion
songs ,songs
breche ,break
ausgeraubt ,robbed
hahn ,faucet
wußte ,knew
krachen ,crash
spürte ,felt
versammlung ,Assembly
folter ,torture
speck ,bacon
bedrohliche ,threatening
piept ,peeping
verbreitet ,spread
nolan ,Nolan
tore ,Gates
t. ,t.
vorräte ,Stocks
saal ,room
wirtschaft ,business
fremd ,strange
mehrmals ,several times
generationen ,generations
coole ,cool
kaufst ,buy
abbrechen ,abort
seife ,soap
herde ,herd
zwerg ,dwarf
brandon ,Brandon
z.b. ,e.g.
neffen ,nephew
festgehalten ,held
ablenkung ,diversion
totale ,total
herrscher ,Ruler
überstehen ,survive
sprengstoff ,explosive
mikey ,mikey
erdbeben ,earthquake
level ,level
australien ,Australia
figuren ,characters
älteren ,older
lynn ,lynn
po ,po
theo ,Theo
spinnt ,spinning
gleichgewicht ,balance
schalter ,counter
kumpels ,buddy
zuneigung ,affection
rollstuhl ,wheelchair
bienen ,bee
mischen ,Mix
hauptstadt ,capital city
koks ,coke
piepen ,beep
langem ,long
umsehen ,look around
gelegen ,located
em ,em
banditen ,bandits
hasste ,hat
getestet ,tested
camille ,Camille
brody ,bridal
dosis ,dose
glaubten ,believed
somit ,Consequently
ernähren ,feed
hacken ,chop
kammer ,chamber
lenny ,lenny
roll ,roll
bezaubernd ,enchanting
wiederholt ,repeated
zueinander ,to each other
tattoo ,tattoo
melanie ,melanie
einschließlich ,including
randall ,randall
finsternis ,darkness
wallace ,wallace
betrachte ,consider
schmerzt ,hurt
gelehrt ,taught
gewechselt ,changing
menschliches ,human
redete ,talk
frühen ,early
voyager ,voyager
caleb ,Caleb
entdeckte ,discovered
wirkte ,act
versprichst ,promised
scheine ,bill
transporter ,transporter
n. ,n.
moderne ,modern
elijah ,Elijah
wilder ,wilder
abgelenkt ,diverted
abzug ,deduction
north ,north
becher ,cups
sicherstellen ,to ensure
e. ,e.
anweisung ,instruction
klettern ,climb
fingern ,finger
geste ,gesture
spürst ,feel
privatleben ,private life
zusammenarbeit ,cooperation
hinauf ,up
si ,si
tokio ,Tokyo
sicherheitsdienst ,security service
kaugummi ,chewing gum
weltkrieg ,world war
huren ,whores
foster ,foster
gemeinsamen ,common
garantieren ,to guarantee
wells ,wav
ln ,LN
antonio ,Antonio
kommunizieren ,communicate
cm ,cm
marc ,marc
blieben ,remain
technisch ,technically
frühstücken ,have breakfast
ve ,Ve
khan ,khan
billiger ,cheaper
elaine ,elaine
standort ,Location
wagt ,daring
leugnen ,deny
beißt ,biting
landung ,landing
ernste ,serious
schockiert ,shocked
esst ,eat
begleitung ,accompaniment
allianz ,alliance
vermutet ,supposed
echo ,echo
herstellen ,produce
lars ,Lars
lokal ,local
sklave ,slave
honig ,honey
videos ,videos
verkehrt ,wrong
göttin ,goddess
segeln ,sail
bewahrt ,preserved
cass ,cass
hinterließ ,left
ganzer ,whole
cody ,cody
doris ,Doris
verurteilen ,judged
höchsten ,highest
februar ,February
privaten ,private
burke ,Burke
v ,v
begegnung ,encounter
steige ,climb
feuerwehr ,fire Department
apollo ,Apollo
beginne ,begin
ähnliches ,similar
stevens ,Stevens
grauen ,gray
wärter ,guard
gewann ,won
vertreter ,representative
starker ,stronger
liebend ,loving
marge ,margin
schoß ,lap
serviert ,served
heilig ,holy
bißchen ,little
security ,security
genaue ,accurate
wally ,Wally
gewaltig ,enormous
knoten ,node
begriffen ,purpose
klarstellen ,clarify
chwhite ,chwhite
hinrichtung ,execution
überwinden ,overcome
ablegen ,take off
einfällt ,incident
wundert ,wonder
stimmte ,agreed
drohen ,threaten
madison ,Madison
entgehen ,escape
stundenlang ,for hours
hausmeister ,building superintendent
helikopter ,helicopter
beverly ,Beverly
puppen ,puppet
aussah ,look
night ,night
beobachte ,observe
check ,check
juwelen ,jewel
bogen ,arc
duft ,fragrance
ankam ,arrived
respektiert ,respected
non ,non
schein ,glow
gewehre ,rifle
kellnerin ,Waitress
vertraulich ,confidential
insgesamt ,all in all
ächzen ,groan
untersuchungen ,investigations
fliegst ,fly
platt ,flat
aufrecht ,upright
geprüft ,checked
hammond ,hammond
bedient ,operated
mangel ,defect
hoher ,higher
knien ,kneel
hobby ,hobby
ling ,ling
ivan ,Ivan
nachtisch ,dessert
kollegin ,co-worker
edwards ,Edwards
alptraum ,nightmare
regina ,Regina
ausgesehen ,look out
